table_name,column_name,data_type,status,null_count,null_pct,distinct_count
transactions,hash,String,DISCOVERED,0,0.0,3000
transactions,size,Int64,DISCOVERED,0,0.0,70
transactions,virtual_size,Int64,DISCOVERED,0,0.0,70
transactions,version,Int64,DISCOVERED,0,0.0,1
transactions,lock_time,Int64,DISCOVERED,0,0.0,1
transactions,block_hash,String,DISCOVERED,0,0.0,1511
transactions,block_number,Int64,DISCOVERED,0,0.0,1511
transactions,block_timestamp,"Datetime(time_unit='ns', time_zone='UTC')",DISCOVERED,0,0.0,1511
transactions,block_timestamp_month,Date,DISCOVERED,0,0.0,1
transactions,input_count,Int64,DISCOVERED,0,0.0,2
transactions,output_count,Int64,DISCOVERED,0,0.0,29
transactions,input_value,"Decimal(precision=38, scale=9)",DISCOVERED,593,19.766666666666666,2337
transactions,output_value,"Decimal(precision=38, scale=9)",DISCOVERED,0,0.0,2536
transactions,is_coinbase,Boolean,DISCOVERED,0,0.0,2
transactions,fee,"Decimal(precision=38, scale=9)",DISCOVERED,0,0.0,33
transactions,inputs,"List(Struct({'index': Int64, 'spent_transaction_hash': String, 'spent_output_index': Int64, 'script_asm': String, 'script_hex': String, 'sequence': Int64, 'required_signatures': Int64, 'type': String, 'addresses': List(String), 'value': Decimal(precision=38, scale=9)}))",DISCOVERED,0,0.0,
transactions,outputs,"List(Struct({'index': Int64, 'script_asm': String, 'script_hex': String, 'required_signatures': Int64, 'type': String, 'addresses': List(String), 'value': Decimal(precision=38, scale=9)}))",DISCOVERED,0,0.0,
blocks,hash,String,DISCOVERED,0,0.0,2000
blocks,size,Int64,DISCOVERED,0,0.0,1819
blocks,stripped_size,Int64,DISCOVERED,0,0.0,1819
blocks,weight,Int64,DISCOVERED,0,0.0,1819
blocks,number,Int64,DISCOVERED,0,0.0,2000
blocks,version,Int64,DISCOVERED,0,0.0,1
blocks,merkle_root,String,DISCOVERED,0,0.0,2000
blocks,timestamp,"Datetime(time_unit='ns', time_zone='UTC')",DISCOVERED,0,0.0,1999
blocks,timestamp_month,Date,DISCOVERED,0,0.0,1
blocks,nonce,String,DISCOVERED,0,0.0,2000
blocks,bits,String,DISCOVERED,0,0.0,2
blocks,coinbase_param,String,DISCOVERED,0,0.0,1749
blocks,transaction_count,Int64,DISCOVERED,0,0.0,177
